"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE(₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"LIQUID1","Kotak Nifty 1D Rate Liquid ETF","1,049.59","1,049.61","1,049.59","1,048.97","1,049.59","-","0.62","0.06","1,34,254","14.09","1,048.97","1,120.00","999.68",0.49,"09-May-2024","4.96","09-Apr-2025"
"LIQUIDADD","DSP S&P BSE Liquid Rate ETF","1,071.82","1,071.84","1,071.82","1,071.18","1,071.84","-","0.66","0.06","7,02,861","75.33","1,071.20","1,219.70","949.27",0.48,"09-May-2024","6.27","09-Apr-2025"
"AONELIQUID","Niftyﾠ1D Rate Index","1,012.06","1,012.06","1,007.62","1,007.03","1,007.64","-","0.61","0.06","8,225","0.83","1,007.02","1,036.16","999.90","-","-","-","-"
"ICICIB22","S&P BSE BHARAT 22 index","103.97","104.50","102.81","104.26","104.32","-","0.06","0.06","2,52,506","2.63","104.40","124.00","93.02",4.21,"09-May-2024","1.67","09-Apr-2025"
"LIQUIDSHRI","SHRIRAM NIFTY 1D RATE LIQUID ETF","1,052.27","1,052.28","1,052.27","1,051.66","1,052.28","-","0.62","0.06","21,992","2.31","1,051.67","1,095.15","1,000.00",0.47,"-","-","09-Apr-2025"
"LIQUIDCASE","Zerodha Nifty 1D Rate Liquid ETF","108.50","108.51","108.49","108.44","108.51","-","0.07","0.06","79,06,212","85.78","108.44","111.64","99.00",0.46,"09-May-2024","6.29","09-Apr-2025"
"CASHIETF","BSE Liquid Rate Index","1,009.94","1,009.96","1,009.94","1,009.33","1,009.96","-","0.63","0.06","5,755","0.58","1,009.31","1,034.60","1,001.47",0.48,"-","-","09-Apr-2025"
"MIDCAPETF","Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF","19.64","19.90","19.54","19.85","19.86","-","0.01","0.05","18,38,073","3.62","19.86","23.20","16.00",6.95,"09-May-2024","7.65","09-Apr-2025"
"MIDQ50ADD","Nifty Midcap 150 Quality 50 Index","231.16","233.00","229.24","232.89","233.00","-","0.11","0.05","4,417","0.10","232.60","269.48","191.97",9.33,"09-May-2024","8.59","09-Apr-2025"
"AUTOBEES","Nifty Auto TRI","230.15","232.13","227.06","230.74","230.83","-","0.09","0.04","1,30,066","2.99","231.23","285.00","197.07",11.89,"09-May-2024","0.47","09-Apr-2025"
"MNC","Kotak Nifty MNC ETF","26.70","27.35","26.70","27.29","27.30","-","0.01","0.04","25,841","0.07","27.21","33.48","24.52",4.81,"09-May-2024","-0.69","09-Apr-2025"
"GSEC10YEAR","Mirae Asset Nifty 8-13 yr G-Sec ETF","29.04","29.12","28.81","28.94","28.95","-","0.01","0.03","15,532","0.04","28.91","31.00","25.75",0.87,"09-May-2024","11.99","09-Apr-2025"
"HNGSNGBEES","Hang Seng Index","369.01","379.43","369.01","376.92","377.00","-","0.08","0.02","72,029","2.69","360.26","448.90","269.02",1.81,"09-May-2024","27.02","09-Apr-2025"
"MON100","Nasdaq100","169.00","170.00","168.00","169.09","169.10","-","0.01","0.01","12,46,019","21.02","164.37","221.70","142.10",3.51,"09-May-2024","15.76","09-Apr-2025"
"LIQUIDIETF","S&P BSE Liquid Rate Index","1,000.00","1,000.01","999.98","999.99","999.98","-","-0.01","-","10,40,787","104.08","1,000.00","1,030.00","983.35",0,"09-May-2024","-","09-Apr-2025"
"LIQUIDBEES","Government Securities","999.99","1,000.01","999.11","1,000.00","1,000.01","-","0.01","-","29,14,237","291.42","1,000.00","1,030.00","970.00",0,"09-May-2024","-","09-Apr-2025"
"TATAGOLD","Tata Gold Exchange Traded Fund","9.48","9.54","9.35","9.48","9.48","-","-","-","81,02,362","7.66","9.44","10.48","6.30",8.11,"09-May-2024","33.76","09-Apr-2025"
"CONSUMER","NiftyﾠIndiaﾠNewﾠAgeﾠConsumption","10.70","10.76","10.62","10.76","10.76","-","-","-","34,879","0.04","10.76","13.97","9.00",6.55,"-","-","09-Apr-2025"
"MOHEALTH","Motilal Oswal S&P BSE Healthcare ETF","41.61","41.80","41.04","41.80","41.80","-","-","-","26,248","0.11","41.68","46.97","34.20",4.1,"09-May-2024","19.67","09-Apr-2025"
